 ,,,,,
S. No,Name (English),Name (Tamil),Rate,80%-Discount Price,Per.
198.            ,Blue diamond,ப்ளூ டைமண்ட்,6500,"₹ 1,300.00",1 Box
199.            ,Digital rain,டிஜிட்டல் ரெயின்,8750,"₹ 1,750.00",1 Box
200.            ,IPL Winner Shot,ஐபிஎல் வின்னர் ஷாட்,17500,"₹ 3,500.00",1 Box
201.            ,10 x 10 Peacock Dance,10 × 10 பீகாக் டான்ஸ்,16500,"₹ 3,300.00",1 Box
202.            ,Gang Bangers,கேங் பேங்கர்ஸ்,13400,"₹ 2,680.00",1 Box
203.            ,4” Set out,4” செட் அவுட்,25250,"₹ 5,050.00",1 Box
204.            ,7cm Electric Sparklers,7cm எலக்ட்ரிக் கம்பி,55,₹ 11.00,1 Box
205.            ,7cm Colour Sparklers,7cm கலர் கம்பி,60,₹ 12.00,1 Box
206.            ,7cm Green Sparklers,7cm கிரீன் கம்பி,75,₹ 15.00,1 Box
207.            ,7cm Red Sparklers,7cm ரெட் கம்பி,80,₹ 16.00,1 Box
208.            ,7cm 4 in 1,7cm 4 இன் 1,70,₹ 14.00,1 Box
209.            ,7cm 50-50,7cm 50-50,75,₹ 15.00,1 Box
210.            ,10cm Electric Sparklers,10cm எலக்ட்ரிக் கம்பி,85,₹ 17.00,1 Box
211.            ,10cm Colour Sparklers,10cm கலர் கம்பி,95,₹ 19.00,1 Box
212.            ,10cm Green Sparklers,10cm கிரீன் கம்பி,100,₹ 20.00,1 Box
213.            ,10cm Red Sparklers,10cm ரெட் கம்பி,115,₹ 23.00,1 Box
214.            ,Silver Drops,சில்வர் ட்ராப்ஸ்,120,₹ 24.00,1 Box
215.            ,12cm Electric Sparklers,12cm எலக்ட்ரிக் கம்பி,115,₹ 23.00,1 Box
216.            ,12cm Colour Sparklers,12cm கலர் கம்பி,125,₹ 25.00,1 Box
217.            ,12cm Green Sparklers,12cm கிரீன் கம்பி,135,₹ 27.00,1 Box
218.            ,12cm Red Sparklers,12cm ரெட் கம்பி,150,₹ 30.00,1 Box
219.            ,15cm Electric Sparklers,15cm எலக்ட்ரிக் கம்பி,205,₹ 41.00,1 Box
220.            ,15cm Colour Sparklers,15cm கலர் கம்பி,230,₹ 46.00,1 Box
221.            ,15cm Green Sparklers,15cm கிரீன் கம்பி,255,₹ 51.00,1 Box
222.            ,15cm Red Sparklers,15cm ரெட் கம்பி,275,₹ 55.00,1 Box
223.            ,15cm 4 in 1,15cm 4 இன் 1,270,₹ 54.00,1 Box
224.            ,30cm Electric Sparklers,30cm எலக்ட்ரிக் கம்பி,205,₹ 41.00,1 Box
225.            ,30cm Colour Sparklers,30cm கலர் கம்பி,230,₹ 46.00,1 Box
226.           .,30cm Green Sparklers,30cm கிரீன் கம்பி,255,₹ 51.00,1 Box
227.            ,30cm Red Sparklers,30cm ரெட் கம்பி,275,₹ 55.00,1 Box
228.            ,50cm Electric Sparklers,50cm எலக்ட்ரிக் கம்பி,750,₹ 150.00,1 Box
229.            ,50cm Colour Sparklers,50cm கலர் கம்பி,825,₹ 165.00,1 Box
230.            ,Drone Camera,ட்ரோன் கேமரா,850,₹ 170.00,1 Box
231.            ,Helicopter,ஹெலிகாப்டர்,800,₹ 160.00,1 Box
232.            ,Top Gun,டாப் கன்,1475,₹ 295.00,1 Box
233.            ,Fair play,ஃபெயர் ப்ளே,950,₹ 190.00,1 Box
234.            ,Selfie Stick,செல்ஃபி ஸ்டிக் (5 பீஸ்),700,₹ 140.00,1 Box
,(5pcs),,,,
235.            ,Colour Butter Cafe(10pcs),கலர் பட்டர் கஃபே (10 பீஸ்),700,₹ 140.00,1 Box
236.            ,Butterfly,பட்டர்ஃப்ளை,650,₹ 130.00,1 Box
237.            ,Tora Singar,டோரா சிங்கர்,800,₹ 160.00,1 Box
238.            ,Water Queen,வாட்டர் க்வீன்,825,₹ 165.00,1 Box
239.            ,Star World (5 pcs),ஸ்டார் வேர்ல்டு (5 பீஸ்),750,₹ 150.00,1 Box
240.            ,Sky King,ஸ்கை கிங்,550,₹ 110.00,1 Box
241.            ,Tin Beer (1 Pcs),டின் பீர் (1 பீஸ்),362,₹ 72.40,1 Box
242.            ,Old Is Gold,ஓல்ட் இஸ் கோல்டு,1150,₹ 230.00,1 Box
243.            ,Money In The Bank,மனி இன் த பேங்க்,850,₹ 170.00,1 Box
244.            ,Musical Siren  3 pcs,மியூசிக்கல் சைரன் (3 பீஸ்),1300,₹ 260.00,1 Box
245.            ,Siren mini  5 pcs,சைரன் மினி (5 பீஸ்),900,₹ 180.00,1 Box
246.            ,90 Watts,90 வாட்ஸ்,950,₹ 190.00,1 Box
247.            ,Toy Gun,டாய் கன்,750,₹ 150.00,1 Box
248.            ,Mori penta plus,மோரி பென்டா பிளஸ்,900,₹ 180.00,1 Box
249.            ,Mori Hi-Fi,மோரி ஹை-ஃபை,1150,₹ 230.00,1 Box
250.            ,Arjun tank,அர்ஜுன் டேங்க்,1750,₹ 350.00,1 Box
251.            ,Bharath Talk,பாரத் டாக்,725,₹ 145.00,1 Box
252.            ,Penta Fource (Supreme),பென்டா ஃபோர்ஸ் (சுப்ரீம்),950,₹ 190.00,1 Box
253.            ,Lolly pop,லாலிபாப்,900,₹ 180.00,1 Box
254.            ,Chocklet  bomp,சாக்லெட் பாம்,725,₹ 145.00,1 Box
255.            ,Chin shan,ஷின் சான்,400,₹ 80.00,1 Box
256.            ,MRF Bat & Ball,எம்ஆர்எஃப் பேட் & பால்,1200,₹ 240.00,1 Box
257.            ,Motu batlu +9,மோட்டு பட்லு +9,1050,₹ 210.00,1 Box
258.            ,Dancing  umberla,டான்சிங் அம்ப்ரெல்லா,1200,₹ 240.00,1 Box
